feature,feature_value,shapley_value
NOX,0.538,-0.3803101271268323
NOX,0.469,0.4551775076878329
NOX,0.469,0.2056021426016934
NOX,0.458,-0.2830780988794892
NOX,0.458,-0.2018729271768039
NOX,0.458,-0.1122702790409632
NOX,0.524,-0.1007594665839748
NOX,0.524,0.1075051043542135
NOX,0.524,0.2539598027318966
NOX,0.524,-0.1297038946274213
NOX,0.524,-0.0002655275208929
NOX,0.524,-0.1115663639499304
NOX,0.524,-0.266610527709299
NOX,0.538,-0.6265459326073546
NOX,0.538,-0.3584622143349869
NOX,0.538,-0.6116032105687736
NOX,0.538,-0.8603988530067521
NOX,0.538,-0.2901426190048219
NOX,0.538,-0.4930775828583457
NOX,0.538,-0.3006185521842635
NOX,0.538,0.0517764004218924
NOX,0.538,-0.1785725295751072
NOX,0.538,-0.1187396500562326
NOX,0.538,-0.0410189694287788
NOX,0.538,-0.2033632021184084
NOX,0.538,-0.2061002394271358
NOX,0.538,-0.2968567298845735
NOX,0.538,-0.2059695881068719
NOX,0.538,-0.2825935976588792
NOX,0.538,-0.3073651692515154
NOX,0.538,-0.0696324289507701
NOX,0.538,-0.1296145688165054
NOX,0.538,-0.0058223714964129
NOX,0.538,0.0049442644760368
NOX,0.538,0.086555591317631
NOX,0.499,0.3324649234660164
NOX,0.499,0.3052453722800564
NOX,0.499,-0.0304040591369957
NOX,0.499,-0.0991379451825661
NOX,0.428,0.0294161324724127
NOX,0.428,-0.0734206266923282
NOX,0.448,-0.1474803531653911
NOX,0.448,-0.063222304263312
NOX,0.448,-0.0588427025361559
NOX,0.448,0.257360180903091
NOX,0.448,0.37919650283792
NOX,0.448,0.4039155868447816
NOX,0.448,0.7360418823587639
NOX,0.448,0.9297376960189104
NOX,0.448,0.4477164545360624
NOX,0.439,0.2378849419379665
NOX,0.439,0.3373891534229749
NOX,0.439,-0.0854998881927922
NOX,0.439,-0.0174697835327893
NOX,0.41,0.2518458190616828
NOX,0.403,-0.505533449659294
NOX,0.41,-0.4381627730808005
NOX,0.411,-0.0950875435357955
NOX,0.453,-0.5289400379725216
NOX,0.453,-0.1365225463982788
NOX,0.453,0.0062392512236257
NOX,0.453,0.3382116126974815
NOX,0.453,-0.0913982904346439
NOX,0.453,-0.4702073223125815
NOX,0.4161,-0.3781745498405459
NOX,0.398,0.4423967943806544
NOX,0.398,0.6420906197074124
NOX,0.409,0.4460701487110302
NOX,0.409,0.642310901861185
NOX,0.409,0.5498129544875818
NOX,0.413,0.6314246335290041
NOX,0.413,0.7895306747375258
NOX,0.413,0.6511159918236594
NOX,0.413,0.6520319862843288
NOX,0.437,0.7990186169210608
NOX,0.437,1.0965946210757282
NOX,0.437,1.4861245133115877
NOX,0.437,1.2201834609879372
NOX,0.437,1.083638664213222
NOX,0.437,1.0483112628594775
NOX,0.426,0.3354456479262847
NOX,0.426,0.6740725182674165
NOX,0.426,0.3678212004946238
NOX,0.426,0.5113057435389443
NOX,0.449,0.3872890619570066
NOX,0.449,0.493104460820582
NOX,0.449,0.5022173278083853
NOX,0.449,0.7126633799792617
NOX,0.489,0.4432885328053683
NOX,0.489,0.2458167483074862
NOX,0.489,0.424757672134447
NOX,0.489,0.485207923949367
NOX,0.464,0.8602838696696039
NOX,0.464,0.6487982687621409
NOX,0.464,1.1077830130807775
NOX,0.445,0.8036105027254611
NOX,0.445,0.9586775576430944
NOX,0.445,0.8085494288918186
NOX,0.445,0.49137067387297
NOX,0.445,0.7588489917799554
NOX,0.52,0.30990125252168
NOX,0.52,0.1982378888256198
NOX,0.52,0.6052313621998302
NOX,0.52,0.4674299085950601
NOX,0.52,0.5468339874782996
NOX,0.52,0.7368693791126476
NOX,0.52,0.6921729700317208
NOX,0.52,0.598254946389263
NOX,0.52,0.5801884118407751
NOX,0.52,0.5542988863677194
NOX,0.52,0.1655656928846094
NOX,0.547,0.3813527490204034
NOX,0.547,0.6660964913514024
NOX,0.547,0.6360318662627207
NOX,0.547,0.5416670099952478
NOX,0.547,0.6263494575737106
NOX,0.547,0.3490989570998346
NOX,0.547,0.4248093751260386
NOX,0.547,0.4993473017007709
NOX,0.547,0.327717876572771
NOX,0.581,0.0999781957999342
NOX,0.581,0.2326386763484913
NOX,0.581,0.3695738755451807
